taxus	id_individual
Taeniolethrinops / laticeps	cichlid6993901
Taeniolethrinops / praeorbitalis	CICHM16429709
Taeniolethrinops / praeorbitalis	ILBCDS6101010
Taeniolethrinops / sp-furcicauda-yellow	CICHM16429711
Taeniolethrinops / sp-furcicauda-yellow	cichlid7020289
Tramitichromis / brevis	CICHM16429715
Tramitichromis / brevis	CICHM16429714
Tramitichromis / sp-kande	cichlid6993907
Tramitichromis / sp-kande	ILBCDS5422000
Tramitichromis / sp-east-coast-shallow	cichlid7020203
Tramitichromis / sp-east-coast-shallow	cichlid6994233
Copadichromis / pleurostigma	cichlid6978772
Copadichromis / pleurostigma	ILBCDS5879524
Aulonocara / stuartgranti	ILBCDS5421994
Alticorpus / mentale	cichlid7020232
Aulonocara / sp-yellow	cichlid7020175
Aulonocara / sp-yellow	cichlid7020174
Aulonocara / sp-malembo-orange	ILBCDS5879557
Aulonocara / sp-blue-Chilumba	ILBCDS5879550
Lethrinops / sp-blue-nose	cichlid7020130
Lethrinops / sp-blue-nose	cichlid7020129
Placidochromis / sp-blue-nose	cichlid7020110
Lethrinops / sp-six-bar	cichlid7020173
Aulonocara / nyassae	cichlid7020291
Aulonocara / sp-gold	ILBCDS5879549
Alticorpus / macrocleithrum	ILBCDS5421986
Lethrinops / sp-albus-deep-water	cichlid7020239
Placidochromis / obscurus	cichlid7020182
Lethrinops / sp-oliveri	ILBCDS5438978
Placidochromis / nkhotakotae	cichlid7020338
Lethrinops / sp-deepwater-altus	cichlid7020240
Lethrinops / sp-black-chin	cichlid7020172
Placidochromis / acutirostris	cichlid6993974
Placidochromis / polli	cichlid6993975
Placidochromis / acutirostris	cichlid6993973
Placidochromis / mbunoides	cichlid7020278
Placidochromis / boops	cichlid7020259
Mchenga / sp-chiofu	CICHM16429668
Mchenga / sp-chirombo-1	cichlid7020133
Mchenga / sp-chirombo-2	cichlid7020134
Otopharynx / decorus	cichlid6994138
Mylochromis / ensatus	CICHM16429735
Protomelas / annectens	cichlid6994203
Cyrtocara / moorii	CICHM16429665
Placidochromis / platyrhynchos	cichlid7020337
Trematocranus / sp-cape-maclear	cichlid7020176
Placidochromis / electra	ILBCDS5421988
Copadichromis / kawanga	CICHM16429731
Sciaenochromis / sp-nyassae	cichlid7020210
Stigmatochromis / pleurospilus	ILBCDS6101003
Copadichromis / trewavasae	ILBCDS5421982
Buccochromis / lepturus	cichlid6994204
Buccochromis / rhoadesii	ILBCDS5421980
Buccochromis / heterotaenia	cichlid6994251
Buccochromis / sp-whitefins	CICHM16429691
Mylochromis / obtusus	cichlid7020292
Protomelas / insignis	cichlid6993896
Mylochromis / melanonotus	cichlid7020193
Corematodus / taeniatus	CICHM16429663
Placidochromis / milomo	ILBCDS5421987
Mylochromis / labidodon	cichlid7020213
Mylochromis / subocularis	ILBCDS5879545
Mylochromis / subocularis	ILBCDS5879548
Mylochromis / ericotaenia	ILBCDS6101012
Mylochromis / mollis	cichlid6993915
Mylochromis / epichoralis	cichlid6993903
Mylochromis / guentheri	cichlid6994231
Otopharynx / lithobates	ILBCDS6101031
Protomelas / fenestratus	cichlid7020368
Protomelas / taeniolatus	cichlid6993916
Protomelas / fenestratus	cichlid6993893
Protomelas / sp-chilumba	cichlid6994206
Protomelas / spilopterus	ILBCDS5879567
Chilotilapia / rhoadesii	ILBCDS5879531
Chilotilapia / rhoadesii	ILBCDS5879530
Chilotilapia / rhoadesii	ILBCDS5879552
Chilotilapia / rhoadesii	ILBCDS5879529
Chilotilapia / rhoadesii	cichlid7050625
Protomelas / triaenodon	cichlid7050621
Chilotilapia / rhoadesii	cichlid7050620
Otopharynx / sp-deep	cichlid7020323
Protomelas / labridens	cichlid6993929
Taeniochromis / holotaenia	ILBCDS6101006
Champsochromis / caeruleus	cichlid6780010
Champsochromis / spilorhynchus	cichlid6994225
Aristochromis / christyi	CICHM16429661
Hemitaeniochromis / sp-deep	cichlid7020280
Naevochromis / chrysogaster	CICHM16429670
Hemitaeniochromis / brachyrhynchus	cichlid6993955
Nimbochromis / venustus	cichlid7020196
Nimbochromis / linni	ILBCDS5421992
Nimbochromis / polystigma	ILBCDS5421993
Dimidiochromis / compressiceps	ILBCDS5879553
Taeniolethrinops / macrorhynchus	cichlid6994211
Taeniolethrinops / furcicauda	ILBCDS6101023
Taeniolethrinops / macrorhynchus	CICHM16429708
Lethrinops / parvidens	cichlid7020290
Lethrinops / albus	ILBCDS5421998
Lethrinops / oculatus	cichlid6993917
Lethrinops / sp-longipinnis-white-lappets	cichlid7020381
Tramitichromis / intermedius	cichlid7020333
Tramitichromis / sp-red-throat	cichlid7020310
Copadichromis / quadrimaculatus	cichlid6978782
Copadichromis / sp-orange-fins	cichlid7020335
Copadichromis / quadrimaculatus	ILBCDS5438976
Copadichromis / jacksoni	cichlid6978785
Copadichromis / likomae	ILBCDS6101017
Copadichromis / ilesi	cichlid6780011
