species	id_individual_1	id_individual_2	taxus
	cichlid6994200	cichlid6994174	Maylandia / callainos
	cichlid6994199	cichlid6994181	Maylandia / callainos
	cichlid6994172	cichlid6994169	Maylandia / callainos
	cichlid6994246	cichlid6978880	Maylandia / estherae
	cichlid6978864	cichlid6978778	Chindongo / minutus
	cichlid7020211	cichlid6978878	Pseudotropheus / crabro
	cichlid6994093	cichlid6994085	Labeotropheus / trewavasae
	cichlid6994192	CICHM16429680	Labeotropheus / fuelleborni
	cichlid6994120	cichlid6994095	Labeotropheus / fuelleborni
	cichlid6994098	cichlid6994082	Labeotropheus / fuelleborni
	cichlid6994071	cichlid6994070	Labeotropheus / fuelleborni
	cichlid6994073	cichlid6994072	Labeotropheus / fuelleborni
	CICHM16429713	CICHM16429712	Lethrinops / argenteus
	cichlid7020155	ILBCDS5438975	Lethrinops / sp-longimanus-red-head
	cichlid6994148	cichlid6994147	Aulonocara / ethelwynnae
	cichlid7020281	ILBCDS5879558	Aulonocara / stonemani
	cichlid7020265	cichlid7020258	Aulonocara / sp-deep
	cichlid7020149	cichlid7020148	Lethrinops / longipinnis
	cichlid7050615	cichlid7020135	Mchenga / sp-black-yellow
	cichlid7020181	cichlid7020177	Otopharynx / panniculus
	cichlid7020263	CICHM16429745	Placidochromis / hennydaviesae
	cichlid7020106	cichlid7020105	Otopharynx / selenurus
	cichlid7020252	cichlid7020238	Otopharynx / brooksi
	cichlid6993956	ILBCDS5421972	Otopharynx / sp-brooksi-nkhata
	cichlid6994249	cichlid6993953	Sciaenochromis / fryeri
	cichlid6993900	ILBCDS6101026	Ctenopharynx / pictus
	cichlid7050616	cichlid6994213	Protomelas / triaenodon
	cichlid7020195	cichlid7020194	Otopharynx / auromarginatus
	CICHM16429693	ILBCDS5879541	Buccochromis / nototaenia
	cichlid7050721	cichlid7050720	Otopharynx / sp-heterodon-nankumba
	ILBCDS6101015	ILBCDS5879572	Hemitilapia / oxyrhynchus
	ILBCDS5879540	ILBCDS5879539	Champsochromis / caeruleus
	CICHM16429687	CICHM16429686	Tyrannochromis / macrostoma
	cichlid6994222	ILBCDS5421989	Nimbochromis / livingstonii
	cichlid6994205	cichlid6993971	Hemitaeniochromis / urotaenia
	CICHM16429710	cichlid6993901	Taeniolethrinops / laticeps
	CICHM16429709	ILBCDS6101010	Taeniolethrinops / praeorbitalis
	CICHM16429711	cichlid7020289	Taeniolethrinops / sp-furcicauda-yellow
	CICHM16429715	CICHM16429714	Tramitichromis / brevis
	cichlid6993907	ILBCDS5422000	Tramitichromis / sp-kande
	cichlid7020203	cichlid6994233	Tramitichromis / sp-east-coast-shallow
	cichlid6978772	ILBCDS5879524	Copadichromis / pleurostigma
